session_uid,source,laptop,laptop_short,user_dir,user_id,procedure_slug,procedure_id,pupil_export_dir,pupil_streaming_csv,unix_at_pupil_start,synced_at_pupil_start,pupil_duration_s,pupil_recording_end_unix,files_pupil_positions,files_fixations,files_blinks,files_gaze_positions,files_world_timestamps,rtaps_session_id,participant_id,train_number,session_start_unix,session_end_unix,n_steps,match_overlap_s,match_overlap_frac,match_duration_ratio,match_confidence,notes
lenovo__211__centrifuge,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_211_Centrifuge,211,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_211_Centrifuge,,1764863383.486086,49860.267021,1817.5919379999978,1764865201.078024,False,True,False,False,False,sess_1764865182095_fri17d,P9,2,1764863421.095,1764865182.095,8,1761.0,1.0,1.032,high,
lenovo__222__column_flushing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_222_Column_flushing,222,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_222_Column_flushing,,1764859517.8277564,45994.606527,491.6616089999952,1764860009.4893653,False,True,True,False,True,sess_1764859992796_enrdj2,P10,2,1764859599.796,1764859992.796,14,393.0,1.0,1.251,medium,
lenovo__223__pressure_testing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_223_Pressure_Testing,223,pressure_testing,3,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_223_Pressure_Testing,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Streaming_data/S223/T003/pupil_data_20251204_092307.csv,1764861781.2453475,48258.034905,759.509997000001,1764862540.7553444,True,True,True,True,True,sess_1764862523271_0nsmez,P10,2,1764861805.295,1764862523.295,14,718.0,1.0,1.058,high,
lenovo__231__centrifuge,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_231_Centrifuge,231,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_231_Centrifuge,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Streaming_data/S232/T002/pupil_data_20251204_132909.csv,1764876541.8543787,63018.63376,860.9450890000007,1764877402.7994678,False,True,True,False,True,sess_1764877390836_kqyf3k,P14,2,1764876557.836,1764877390.836,8,833.0,1.0,1.034,high,
lenovo__232__column_flushing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_232_Column_flushing,232,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_232_Column_flushing,,1764871899.0515678,58375.834264,427.0839300000007,1764872326.1354978,True,True,True,True,True,sess_1764872309516_ivesvw,P14,2,1764871920.516,1764872309.516,14,389.0,1.0,1.098,high,
lenovo__233__pressure_testing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_233_Pressure_Testing,233,pressure_testing,3,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_233_Pressure_Testing,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Streaming_data/S233/T003/pupil_data_20251204_123004.csv,1764872991.7853115,59468.567125,453.99718399999983,1764873445.7824955,True,True,True,True,True,sess_1764873433227_tvwzmq,P14,2,1764873013.228,1764873433.228,14,420.0,1.0,1.081,high,
lenovo__241__centrifuge,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_241_Centrifuge,241,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_241_Centrifuge,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Streaming_data/S242/T002/pupil_data_20251204_134448.csv,1764877479.4689696,63956.253698,950.212483000003,1764878429.6814525,True,True,True,True,True,sess_1764878417226_01bll6,P15,2,1764877508.245,1764878417.245,8,909.0,1.0,1.045,high,
lenovo__242__column_flushing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_242_Column_flushing,242,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_242_Column_flushing,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Streaming_data/S241/T001/pupil_data_20251204_122109.csv,1764872458.7619927,58935.546732,353.30145999999513,1764872812.0634527,True,False,False,False,False,sess_1764872801388_fahhv6,P15,2,1764872476.427,1764872801.427,14,325.0,1.0,1.087,high,
lenovo__243__pressure_testing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_243_Pressure_Testing,243,pressure_testing,3,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_243_Pressure_Testing,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Streaming_data/S243/T003/pupil_data_20251204_123823.csv,1764873493.8757725,59970.654003,368.58614099999977,1764873862.4619136,True,True,True,True,True,sess_1764873847697_dwnp2p,P15,2,1764873511.697,1764873847.697,14,336.0,1.0,1.097,high,
lenovo__252__column_flushing,pupil_export,Lenovo_laptop,lenovo,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_252_Column_flushing,252,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Lenovo_laptop/Model_Data/User_252_Column_flushing,,1764879040.3820264,65517.1702,444.5084549999956,1764879484.8904815,True,True,True,True,True,sess_1764879467319_itgey8,P18,2,1764879065.319,1764879467.319,14,402.0,1.0,1.106,high,
zahabi__311__centrifuge,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_311_Centrifuge,311,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_311_Centrifuge,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Streaming_data/S002/T001/pupil_data_20251204_082743.csv,1764858460.7196178,2486.660942,1639.764162,1764860100.48378,True,True,True,False,True,sess_1764860095668_e910ks,P8,1,1764858474.668,1764860095.668,8,1621.0,1.0,1.012,high,
zahabi__321__centrifuge,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_321_Centrifuge,321,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_321_Centrifuge,,1764860561.6839075,4587.630135,1480.857591,1764862042.5414984,False,True,True,False,True,sess_1764862036407_ac5ipm,P11,1,1764860573.407,1764862036.407,8,1463.0,1.0,1.012,high,
zahabi__331__centrifuge,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_331_Centrifuge,331,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_331_Centrifuge,,1764871344.679381,15370.618229,2459.1079019999997,1764873803.787283,True,True,False,False,False,sess_1764873793901_qatgkd,P12,1,1764871352.901,1764873793.901,8,2441.0,1.0,1.007,high,
zahabi__341__centrifuge,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_341_Centrifuge,341,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_341_Centrifuge,,1764873928.3581052,17954.307096,2166.210769999998,1764876094.568875,True,True,True,False,True,sess_1764876093374_cgg6ok,P13,1,1764873944.374,1764876093.374,8,2149.0,1.0,1.008,high,
zahabi__351__centrifuge,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_351_Centrifuge,351,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_351_Centrifuge,,1764879253.3078015,23279.247674,966.6633010000005,1764880219.9711025,False,True,True,False,False,sess_1764880218897_kymvek,P16,1,1764879260.897,1764880218.897,8,958.0,1.0,1.009,high,
zahabi__352__column_flushing,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_352_Column_Flushing,352,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_352_Column_Flushing,,1764876730.7791355,20756.720297,291.3145140000015,1764877022.0936494,False,True,True,False,False,sess_1764877021264_l8822p,P16,1,1764876749.264,1764877021.264,14,272.0,1.0,1.071,high,
zahabi__353__pressure_testing,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_353_Pressure_Testing,353,pressure_testing,3,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_353_Pressure_Testing,,1764877825.729846,21851.670038,759.5253120000016,1764878585.255158,True,True,False,True,False,sess_1764878583325_v5ze2c,P16,1,1764877840.325,1764878583.325,14,743.0,1.0,1.022,high,
zahabi__361__centrifuge,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_361_Centrifuge,361,centrifuge,1,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_361_Centrifuge,,1764880310.5271828,24336.465762,905.4270299999989,1764881215.954213,False,True,True,False,False,sess_1764881214955_9vqqte,P17,1,1764880324.956,1764881214.956,8,890.0,1.0,1.017,high,
zahabi__362__column_flushing,pupil_export,Dr_Zahabi_laptop,zahabi,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_362_Column_Flushing,362,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Dr_Zahabi_laptop/Model_data/User_362_Column_Flushing,,1764877068.870218,21094.810002,238.32278200000292,1764877307.193,True,True,True,True,False,sess_1764877305136_arpc65,P17,1,1764877081.156,1764877305.156,14,224.0,1.0,1.064,high,
loaner__312__column_flushing,pupil_export,Loaner_laptop,loaner,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_312_Column_Flushing,312,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_312_Column_Flushing,,1764862677.4496999,6001.440574,440.51854899999944,1764863117.9682488,False,True,True,False,True,sess_1764863113978_ooz1xs,P8,1,1764862691.978,1764863113.978,14,422.0,1.0,1.044,high,
loaner__332__column_flushing,pupil_export,Loaner_laptop,loaner,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_332_Column_Flushing,332,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_332_Column_Flushing,,1764865915.3883905,9239.379269,383.00761500000044,1764866298.3960056,True,True,True,True,True,sess_1764866295975_rj31nl,P12,1,1764865925.975,1764866295.975,14,370.0,1.0,1.035,high,
loaner__333__pressure_testing,pupil_export,Loaner_laptop,loaner,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_333_Pressure_Testing,333,pressure_testing,3,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_333_Pressure_Testing,,1764866918.3582985,10242.349984,502.8654569999999,1764867421.2237556,True,True,True,True,True,sess_1764867417886_ovrslu,P12,1,1764866926.886,1764867417.886,14,491.0,1.0,1.024,high,
loaner__342__column_flushing,pupil_export,Loaner_laptop,loaner,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_342_Column_Flushing,342,column_flushing,2,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Model_data/User_342_Column_Flushing,,1764866407.604618,9731.595643,280.93870499999866,1764866688.543323,True,True,True,True,True,sess_1764866684526_aagzlo,P13,1,1764866413.526,1764866684.526,14,271.0,1.0,1.037,high,
loaner__S001T001__unknown,streaming_only,Loaner_laptop,loaner,,001,,,,/Users/user/Desktop/RTAPS/ML Algorithm/data/Loaner_laptop/Streaming_data/S001/T001/pupil_data_20251125_135708.csv,1764100628.0,,,,,,,,,,,,,,,,,,UNMATCHED,Streaming-only (no Model_Data export). Filename UTC reconstructed from name; verify with first-sample timestamp.
